id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
7019,EGY-1995-1-241-5,1995,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Svenska Dagbladet, 1995-01-15, ""Egyptiska islamister skts ihjl",,,,Interior Ministry,5,Southern Egypt,Abu Mazer (southern Egypt),,,23.083333,32.666667,POINT (32.666667 23.083333),163146,Egypt,651,Middle East,1,1,01/14/1995 00:00:00,01/14/1995 00:00:00,0,3,0,0,3,3,3,
7021,EGY-1994-1-241-1,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Times, 1994-01-11, ""Policemen shot",,,,police,1,Assiut town,Assiut town,Assiut governorate,,27.180956,31.183683,POINT (31.183683 27.180956),168903,Egypt,651,Middle East,1,1,01/10/1994 00:00:00,01/10/1994 00:00:00,2,0,0,0,2,2,2,
7022,EGY-1994-1-241-10,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Globe and Mail, 1994-02-19, ""War against terror breeds more terror",,,,police,6,Egypt,Egypt,,,27.000000,30.000000,POINT (30.000000 27.000000),168901,Egypt,651,Middle East,2,4,02/01/1994 00:00:00,02/19/1994 00:00:00,2,0,0,0,2,2,2,
7023,EGY-1994-1-241-27,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1994-05-14-15, ""unclear title",,,,police,5,Southern Egypt,Southern Egypt,,,23.083333,32.666667,POINT (32.666667 23.083333),163146,Egypt,651,Middle East,1,1,05/13/1994 00:00:00,05/13/1994 00:00:00,0,0,0,0,0,3,0,
7025,EGY-1994-1-241-56,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"IHT, 1994-12-29, ""Attack on Train Kills Egypt Guard",,,,Interior Ministry,1,Qena town,Qena town,Qena governorate,,26.170000,32.727222,POINT (32.727222 26.170000),167466,Egypt,651,Middle East,1,1,12/27/1994 00:00:00,12/27/1994 00:00:00,1,0,0,0,1,1,1,
7026,EGY-1994-3-1184-4,1994,False,Clear,3,341,526,al-Gama'a al-Islamiyya - Civilians,341,993,al-Gama'a al-Islamiyya - Civilians,341,341,al-Gama'a al-Islamiyya,9999,1,Civilians,-1,"BBC, 1994-08-06",,,,security sources,1,Al Badari town,El Badari town,Red Sea governorate,,26.992222,31.415278,POINT (31.415278 26.992222),168183,Egypt,651,Middle East,1,1,08/02/1994 00:00:00,08/02/1994 00:00:00,0,0,1,0,1,1,1,
7027,EGY-1994-1-241-24,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,C.I. May 1994,,,,police,1,Assiut town,Assiut town,Assiut governorate,,27.180956,31.183683,POINT (31.183683 27.180956),168903,Egypt,651,Middle East,1,1,04/20/1994 00:00:00,04/20/1994 00:00:00,2,0,1,0,3,3,3,
7028,EGY-1994-1-241-30,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,C.I. July/August 1994,,,,police,1,Al Minya town,El Minya town,Al Minya governorate,,28.109884,30.750299,POINT (30.750299 28.109884),170342,Egypt,651,Middle East,1,1,07/16/1994 00:00:00,07/16/1994 00:00:00,0,1,0,0,1,1,1,
7029,EGY-1994-1-241-50,1994,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Times, 1994-12-05, ""no name",,,,police,6,Egypt,Egypt,,,27.000000,30.000000,POINT (30.000000 27.000000),168901,Egypt,651,Middle East,1,1,12/03/1994 00:00:00,12/03/1994 00:00:00,0,0,0,0,0,3,0,
7030,EGY-1993-1-241-24,1993,True,Clear,1,391,391,Egypt: Government,838,838,Government of Egypt - al-Gama'a al-Islamiyya,117,117,Government of Egypt,341,341,al-Gama'a al-Islamiyya,-1,"Times, 1993-09-20, ""Tourists attacked in Egypt",,,,police,1,Aswan town,Aswan town,Aswan governorate,,24.087500,32.898889,POINT (32.898889 24.087500),164586,Egypt,651,Middle East,1,1,09/13/1993 00:00:00,09/13/1993 00:00:00,1,0,0,0,1,1,1,
